Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
"0196-1830-55 Toddler undershirts from CN , drawn ; Collection Winifred Bowers, NYC to CIU, BYU, drawn by Carma.jpg",0196_image.jpg,,0287_image.jpg,0705_image.jpg
0197-1830-60 Mary Whitmer in common Sunday Clothes.jpg,0197_image.jpg,,0288_image.jpg,0707_image.jpg
"0198-1830-60 Workmen chopping wood & tearing out trees felt hats, altered from Pyne, plate 25.jpg",0198_image.jpg,,0290_image.jpg,0708_image.jpg
"0199-1830-60s Female's shoe of prunella or kidskin for everyday or best, laced on inside of foot, toe and heel caps common.jpg",0199_image.jpg,,0291_image.jpg,0709_image.jpg
"0200-1830-60s Mourning bonnet, black satin, quilted in channels with extra long curtain, DUP by Carma.jpg",0200_image.jpg,,0292_image.jpg,0710_image.jpg
"0201-1830-70s Shoes of silk and kid with heels, upper right felt house slipper, Metropolitan Museum of Art, NY, photo by Carma.jpg",0201_image.jpg,,0293_image.jpg,0711_image.jpg
"0202-1830-80s Underwear- Petticoat ruffle with embroidery, corsett with front busk, white wool petticoat with white embroidery.jpg",0202_image.jpg,,0294_image.jpg,0712_image.jpg
"0203-1830-90 Tinsmith's shop, wool cap and paper hat.jpg",0203_image.jpg,,0295_image.jpg,0716_image.jpg
"0204-1830-1850s boy trousers in heavy, striped cotton, white stockings and best slip-on shoes.jpg",0204_image.jpg,,0298_image.jpg,0719_image.jpg
0205-1830-1850s pantalets and slippers.jpg,0205_image.jpg,,0298_image.jpg,0723_image.jpg
0206-1830-1850s peaked felt hat and check shirt on school age boy.jpg,0206_image.jpg,,0299_image.jpg,0724_image.jpg
0207-1830-1880s Boys flat shoes with silk ribbon ties.jpg,0207_image.jpg,,0300_image.jpg,0737_image.jpg
"0208-1830, girl and boy both in dresses until age 4-6 from connerprarie.org",0208_image.jpg,,0302_image.jpg,0738_image.jpg
"0209-1830, men and women at rustic dance by William Sidney Mount.jpg",0209_image.jpg,,0303_image.jpg,0740_image.jpg
